angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.563688,Gaia DR3 34361129088,45.0041890965,+0.0209622898,0.000,0.000,90,*,1,03 00 01.00538,+00 01 15.4642,A,2020yCat.1350....0G,Star,*,,,,,,,3.2350,0.1205,29.518,19.232,0.134,0.134,90,,,,,,,,,,,,,,,Gaia DR3 34361129088,45.00432028915,0.02104776378,0.000,0.000,37,1636148068921376768,34361129088,894504938,0.0973,0.1018,3.2350,0.1205,26.8577,35.231,29.518,0.134,19.232,0.134,0.1633,0.0006,-0.0737,-0.0120,-0.4039,-0.1015,-0.3159,0.1407,0.2314,0.3818,172,0,171,1,1.0815,1.9460e+02,0.267,1.0328e+00,31,0,1.285,,,,,,,,20,15,0.220539,20,5.737e-02,8.454e+01,0,0,1.058,0,170,1763.19139,2.12124e+00,8.31210e+02,17.571619,0.003049,18,3.89997e+02,9.49141e+00,4.10895e+01,18.860889,0.026571,19,2.17821e+03,1.50747e+01,1.44495e+02,16.402643,0.008411,1.457,0,2,0,1,0,2.458246,1.289270,1.168976,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999389,3478.5,3461.1,3497.6,4.7000,4.6405,4.7734,-0.6143,-0.7064,-0.4964,302.2347,292.5325,312.6373,0.7643,0.7292,0.7975,0.5050,0.4815,0.5273,0.3096,0.2956,0.3228,MARCS,45.00418909650,0.02096228976,2.148448,2.177037,0.3797
0.564931,Gaia DR3 38655544960,45.0048464325,+0.0197947193,0.000,0.000,90,*,1,03 00 01.16314,+00 01 11.2610,A,2020yCat.1350....0G,Star,*,,,,,,,3.1392,0.0223,29.686,19.115,0.024,0.024,90,,,,,,,,,,,,,,,Gaia DR3 38655544960,45.00497837175,0.01987967570,0.000,0.000,34,1636148068921376768,38655544960,1757259052,0.0179,0.0188,3.1392,0.0223,140.4713,35.308,29.686,0.024,19.115,0.024,0.1153,0.0732,-0.1069,-0.0302,-0.4489,-0.1555,-0.3793,0.1818,0.2637,0.3553,183,0,182,1,0.2643,1.8144e+02,0.000,0.0000e+00,31,0,1.455,,,,,,,,21,15,0.039295,21,2.430e-02,9.863e+01,0,0,1.012,0,180,42030.60044,1.13928e+01,3.68921e+03,14.128453,0.002771,20,1.79555e+04,2.60393e+01,6.89553e+02,14.703050,0.003204,19,3.42635e+04,3.67514e+01,9.32306e+02,13.410816,0.003955,1.242,0,3,0,2,0,1.292233,0.574596,0.717637,41.19,3.11,2,10,1,8,7.0346e+00,,,749.920,,4500.0,3.0,-0.25,111,,,,13.068616,0.049816,10,,NOT_AVAILABLE,0.000000,0.000000,0.999806,4708.8,4659.1,4723.3,4.5588,4.5261,4.5654,-0.0870,-0.1218,-0.0681,332.8322,330.4709,347.1729,0.2345,0.1840,0.2516,0.1820,0.1425,0.1955,0.0961,0.0752,0.1032,MARCS,45.00484643217,0.01979471908,0.382676,0.388796,0.3554
0.201864,Gaia DR3 4295806720,44.9961023193,+0.0056333624,0.000,0.000,90,*,1,02 59 59.06456,+00 00 20.2801,A,2020yCat.1350....0G,Star,*,,,,,,,0.3543,0.1227,11.938,-4.081,0.138,0.133,90,,,,,,,,,,,,,,,Gaia DR3 4295806720,44.99615537865,0.00561522634,0.000,0.000,46,1636148068921376768,4295806720,545300884,0.1016,0.1013,0.3543,0.1227,2.8886,12.616,11.938,0.138,-4.081,0.133,0.1229,0.1320,-0.0889,0.0226,-0.3653,-0.0369,-0.2448,0.0630,0.1357,0.3343,184,0,183,1,2.6720,2.4221e+02,0.381,2.0765e+00,31,0,1.509,,,,,,,,22,16,0.217802,22,1.760e-02,9.024e+01,0,0,1.143,0,182,1653.39472,2.07576e+00,7.96523e+02,17.641426,0.003074,18,8.00430e+02,1.26014e+01,6.35191e+01,18.080235,0.017319,20,1.18759e+03,1.58238e+01,7.50506e+01,17.061232,0.014952,1.202,0,0,0,2,0,1.019003,0.438808,0.580194,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999988,5053.0,5040.7,5066.6,4.7793,4.7613,4.7924,-1.4592,-1.5732,-1.3439,1497.0547,1466.7346,1536.1321,0.0064,0.0016,0.0176,0.0052,0.0013,0.0143,0.0028,0.0007,0.0078,MARCS,44.99610231930,0.00563336243,2.218422,2.157766,0.3294
0.063684,SDSS J030006.41+000454.1,45.0267102600,+0.0817052529,0.000,0.000,90,LM*,3,03 00 06.41046,+00 04 54.1389,A,2020yCat.1350....0G,Low-Mass*,*|LM*|Opt,41.000,,0.0001368,,M0V,,,,3.762,-1.299,0.472,0.482,90,,,,,,,,,,24.503,20.823,19.428,18.811,18.467,Gaia DR3 927713095040,45.02672698087,0.08169947827,0.000,0.000,36,1636148068921376768,927713095040,1643621005,0.3037,0.3229,-0.1227,0.3688,-0.3328,3.980,3.762,0.472,-1.299,0.482,0.1903,0.1212,-0.1137,-0.0981,-0.3908,-0.2447,-0.4487,0.2243,0.1852,0.5060,169,0,169,0,1.7137,2.0308e+02,0.826,1.1981e+00,95,0,,1.4543,0.0946,-0.253,-0.054,-0.164,-0.088,0.047,19,14,0.825556,19,1.557e-02,1.394e+02,0,0,1.094,0,168,336.69943,1.37787e+00,2.44362e+02,19.369261,0.005228,18,1.00588e+02,9.14017e+00,1.10051e+01,20.332174,0.098697,19,3.40960e+02,7.56585e+00,4.50657e+01,18.416136,0.024387,1.311,0,3,0,1,0,1.916039,0.962914,0.953125,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999996,,,,,,,,,,,,,,,,,,,,,,,45.02671026002,0.08170525286,7.594328,7.869284,0.5078
0.406491,2MASS J03000125+0006073,45.0049980162,+0.1020378179,0.000,0.000,90,LM*,2,03 00 01.19952,+00 06 07.3361,A,2020yCat.1350....0G,Low-Mass*,*|LM*|NIR|Opt,8.582,4.282,0.0000286,0.0000143,M1V,,1.2029,0.2343,9.756,-23.458,0.305,0.247,90,,,,,,,16.506,15.980,16.080,23.606,20.678,19.238,18.425,17.984,Gaia DR3 1752346816896,45.00504137480,0.10193356020,0.000,0.000,82,1636148068921376768,1752346816896,1246580891,0.2188,0.1930,1.2029,0.2343,5.1348,25.406,9.756,0.305,-23.458,0.247,0.0358,0.0505,-0.2371,0.0786,-0.1768,0.0663,-0.2498,0.0837,0.0042,0.0851,200,0,199,1,-0.0834,2.0701e+02,0.000,0.0000e+00,95,0,,1.2827,0.0606,-0.108,0.006,-0.059,-0.054,-0.046,23,16,0.427696,23,6.895e-02,1.540e+02,0,0,0.994,0,198,447.57950,1.43221e+00,3.12510e+02,19.060192,0.004434,22,1.15995e+02,8.30594e+00,1.39654e+01,20.177439,0.077795,22,4.59877e+02,9.55994e+00,4.81046e+01,18.091291,0.022885,1.287,0,2,0,2,0,2.086147,1.117247,0.968901,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999992,,,,,,,,,,,,,,,,,,,,,,,45.00499801617,0.10203781788,4.930591,4.007809,0.0765
0.334960,US 3483,44.9959962738,+0.0849833421,0.000,0.000,90,*,1,02 59 59.03911,+00 05 05.9400,A,2020yCat.1350....0G,Star,*|blu|NIR,,,,,,,0.3013,0.0472,14.857,-14.749,0.057,0.048,90,,,,17.100,,,15.086,14.933,14.831,,,,,,Gaia DR3 1653563247744,44.99606230475,0.08491778897,0.000,0.000,81,1636148068921376768,1653563247744,991970824,0.0432,0.0377,0.3013,0.0472,6.3898,20.935,14.857,0.057,-14.749,0.048,0.0420,0.1567,-0.0618,-0.0790,-0.1561,-0.0733,-0.1529,-0.0433,0.0147,0.0400,202,0,199,3,0.6378,2.1498e+02,0.100,6.7972e-01,31,0,1.571,,,,,,,,23,16,0.078483,23,1.885e-02,1.364e+02,0,0,1.031,0,197,6537.69594,3.72186e+00,1.75657e+03,16.148806,0.002824,21,3.63924e+03,1.96180e+01,1.85506e+02,16.436014,0.006484,19,4.23128e+03,1.32912e+01,3.18351e+02,15.681716,0.005091,1.204,0,3,0,2,0,0.754298,0.287209,0.467090,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999983,6279.5,6231.7,6322.9,4.4083,4.3820,4.4392,-1.7229,-1.8201,-1.6238,1780.9856,1713.2855,1834.8552,0.2924,0.2672,0.3159,0.2512,0.2293,0.2716,0.1379,0.1259,0.1491,MARCS,44.99599627377,0.08498334208,0.908191,0.779587,0.0468
0.000000,SDSS J030017.98+000639.0,45.0749247199,+0.1108820421,0.034,0.025,90,G,2,03 00 17.98193,+00 06 39.1754,C,2020yCat.1350....0G,Galaxy,*|G|Opt,18065.408,2.998,0.0621900,0.0000100,,,,,,,,,,,,,,,,,,,19.064,17.986,17.676,17.382,17.203,Gaia DR3 2512556873600,45.07492471994,0.11088204209,0.034,0.024,102,1636148068921376768,2512556873600,831324186,33.5446,24.8304,,,,,,,,,-0.1310,,,,,,,,,,47,0,47,0,35.8598,1.9647e+03,119.273,1.8445e+02,3,0,,,,,,,,,7,6,120.013802,8,4.129e-01,5.456e+01,0,0,,0,47,45.04386,2.31863e+00,1.94270e+01,21.553278,0.055956,5,2.96537e+02,5.43735e+01,5.45371e+00,19.158344,0.199102,5,4.44696e+02,8.38830e+01,5.30138e+00,18.127739,0.204838,16.456,0,0,0,0,0,1.030605,-2.394934,3.425539,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.004575,0.036596,0.958777,,,,,,,,,,,,,,,,,,,,,,,45.07492471994,0.11088204209,33.544640,24.830378,-0.1310
0.307925,UCAC4 451-003936,45.1321234273,+0.1377706332,0.000,0.000,90,*,3,03 00 31.70962,+00 08 15.9743,A,2020yCat.1350....0G,Star,*|NIR,38.039,0.026,0.0001269,0.0000001,,,2.6762,0.0189,4.722,18.657,0.023,0.016,90,,,,13.128,12.511,12.465,11.320,11.007,10.926,,12.777,12.355,12.207,,Gaia DR3 2851858288640,45.13214441404,0.13785355324,0.000,0.000,112,1636148068921376768,2851858288640,187245224,0.0176,0.0141,2.6762,0.0189,141.3772,19.246,4.722,0.023,18.657,0.016,-0.2063,0.1633,-0.2594,0.2210,-0.4571,0.2085,-0.1809,-0.0366,0.1135,-0.1170,193,193,193,0,4.0358,4.3779e+02,0.090,8.4244e+00,31,1,1.559,,,,,,,,22,13,0.033212,22,3.994e-02,1.499e+02,0,0,1.213,0,192,215004.47475,6.69653e+01,3.21068e+03,12.356248,0.002776,21,1.16134e+05,1.01780e+02,1.14103e+03,12.676144,0.002948,20,1.42183e+05,6.77168e+01,2.09967e+03,11.865775,0.003815,1.201,0,0,0,0,0,0.810369,0.319896,0.490473,36.32,1.72,1,10,1,10,1.6528e+01,6.3334e-01,0.193011,911.299,13.12,5750.0,4.5,-1.00,101,,,,11.700247,0.019171,9,,NOT_AVAILABLE,0.000000,0.000000,0.999890,5819.6,5784.1,5863.1,4.3388,4.3245,4.3741,-0.6980,-0.7340,-0.6524,363.0551,343.9236,370.3254,0.1242,0.1019,0.1499,0.1049,0.0860,0.1267,0.0569,0.0466,0.0687,MARCS,45.13212342655,0.13777063212,0.378434,0.266415,-0.1358
0.000000,2MASS J03002978+0008123,45.1241524531,+0.1367785253,0.002,0.002,90,LM*,2,03 00 29.79659,+00 08 12.4027,C,2020yCat.1350....0G,Low-Mass*,*|LM*|NIR|Opt,46.180,4.730,0.0001541,0.0000158,M3V,,,,,,,,32767,,,,,,,14.912,14.398,14.124,21.994,19.413,17.846,16.776,16.212,Gaia DR3 2821794351744,45.12415245312,0.13677852528,0.002,0.002,108,1636148068921376768,2821794351744,1389218613,1.6364,1.5162,,,,,,,,,-0.0571,,,,,,,,,,162,0,145,17,85.2711,1.1891e+04,11.946,9.7133e+02,3,0,,,,,,,,,18,12,3.057951,20,1.708e-01,8.550e+01,58,0,,0,162,1180.83009,1.34390e+01,8.78661e+01,18.006899,0.012660,18,4.48953e+02,1.07753e+01,4.16652e+01,18.708038,0.026208,16,2.29584e+03,2.30434e+01,9.96311e+01,16.345543,0.011534,2.324,0,2,0,1,0,2.362495,0.701139,1.661356,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.910599,,,,,,,,,,,,,,,,,,,,,,,45.12415245312,0.13677852528,1.636417,1.516187,-0.0571
0.321357,2MASS J03003511+0009375,45.1463239449,+0.1604173215,0.000,0.000,90,LM*,2,03 00 35.11775,+00 09 37.5024,A,2020yCat.1350....0G,Low-Mass*,*|LM*|NIR|Opt,23.000,,0.0000767,,M3V,,2.3589,0.1407,14.037,-14.365,0.169,0.131,90,,,,,,,15.260,14.712,14.270,22.219,19.779,18.243,17.184,16.628,Gaia DR3 2989297243776,45.14638633342,0.16035347706,0.000,0.000,106,1636148068921376768,2989297243776,922975020,0.1190,0.1067,2.3589,0.1407,16.7708,20.085,14.037,0.169,-14.365,0.131,-0.0675,0.1339,-0.1657,0.1831,-0.4602,0.1916,-0.1606,-0.1097,0.1460,0.0274,203,0,203,0,0.4534,2.3624e+02,0.329,1.1763e+00,95,0,,1.2726,0.0341,-0.165,0.013,-0.034,-0.113,-0.130,23,13,0.236107,23,2.422e-02,1.496e+02,1,0,1.021,0,202,1338.27456,1.96854e+00,6.79830e+02,17.871004,0.003185,20,3.08520e+02,1.10925e+01,2.78135e+01,19.115332,0.039136,19,1.53655e+03,1.32332e+01,1.16114e+02,16.781527,0.010086,1.379,0,2,0,1,0,2.333805,1.244328,1.089478,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999617,3463.8,3433.7,3520.2,4.4658,4.4095,4.6155,-1.1136,-1.1723,-0.9204,358.7699,347.5433,373.3533,0.6416,0.5727,0.7128,0.4299,0.3827,0.4785,0.2550,0.2274,0.2838,MARCS,45.14632394489,0.16041732146,2.724249,2.113586,0.0093
